id,name,website,address,municipality,county,lat,long,phone_number,rating,place_id
oswetrsc0834,"Oslo West Traffic School",oslovesttrafikkskole.no/?page_id=666,"Luftfartsveien 18, 0770 Oslo","Oslo kommune",Oslo,59.9472926,10.6609725,"480 30 555",5,ChIJtb1E7HVtQUYR5m8UDIVp1YY
overtraf8880,"overn Trafikkskole",overntrafikkskole.no/,"Kirkeveien 1, 1480 Slattum",Nittedal,Viken,60.00944659999999,10.9188264,"906 63 401",4,ChIJ1WsmgaFwQUYRhIvaVdjp8cQ
perstraf5620,"Per's Trafikkskole",pers-tr.no/,"Brogata 17, 1608 Fredrikstad",Fredrikstad,Viken,59.21526399999999,10.932675,"69 31 50 00",4.8,ChIJeR0Px94CREYRsgK1lJVzHkU
polpostr7868,"Pole Position Trafikkskole AS",pptrafikkskole.no/,"Rådhusveien 21, 1739 Borgenhaugen",Sarpsborg,Viken,59.2676221,11.1699304,"69 10 97 00",4.3,ChIJoTJfMv0FREYROzqkzxjB3gU
protrada8425,"Proff trafikkskole DA",profftrafikkskole.no/,"Enebakkveien 275, 1187 Oslo","Oslo kommune",Oslo,59.8785829,10.826876,"21 44 51 77",,ChIJWxyrGkFvQUYRFe4jPt-qCsA
pstraasl5232,"PS Trafikkskole AS",pstrafikkskole.no/,"Søster Mathildes gate 14A, 1461 Lørenskog",Lørenskog,Viken,59.91925380000001,10.9477127,"412 32 574",,ChIJa3IAEEFvQUYRNr1QylfiXMM
reatraos7296,"Ready Trafikkskole",readytrafikkskole.no/,"Grenseveien 107, 0663 Oslo","Oslo kommune",Oslo,59.92738310000001,10.8766796,"468 14 940",5,ChIJ3VvuBfVvQUYRSco4qftg_28
ribtraas1922,"Riber Trafikkskole As",ribertrafikkskole.no/,"Odins gate 11, 0266 Oslo","Oslo kommune",Oslo,59.91942090000001,10.7069721,"909 53 646",5,ChIJuW8ndtJtQUYR-dKK5C_W-lQ
ringtraf0333,"Ringerike Trafikkskole",ringeriketrafikkskole.no/,"Kirkegata 9, 3510 Hønefoss",Ringerike,Viken,60.16619499999999,10.2583763,"991 20 755",3.7,ChIJL_9zlkAHQUYRK6Vw3MIvnew
rismctra3012,"Riseberg MC & Trafikkskole",risebergmc.no/,"Gurudveien 21, 1832 Askim","Indre Østfold",Viken,59.58186440000001,11.1439128,"69 88 67 00",2.9,ChIJK5RrjmzjQ0YRuRbljt1e0MA
robuantr2928,"Romerike bus and Trailer School AS",rbt.as/,"Ullensaker næringspark, Dyrskueveien 18, 2040 Kløfta",Ullensaker,Viken,60.08217670000001,11.1405472,"63 94 35 80",4.5,ChIJ3TnGGxZ_QUYRCjJxNr0wQj0
roeoghur7006,"Røyken og Hurum Trafikkskole",rh-trafikkskole.no/,"Nordre Sætrevei 46, 3475 Sætre",Asker,Viken,59.6851962,10.5210147,"32 79 14 00",5,ChIJa200_DlHQUYReic7BZAQPmE
